Location,Year,Month,DaysAbove35
Coffs Harbour,2014,10,0.0
Coffs Harbour,2014,11,0.0
Coffs Harbour,2014,12,0.0
Coffs Harbour,2015,1,0.0
Coffs Harbour,2015,2,0.0
Coffs Harbour,2015,3,0.0
Coffs Harbour,2015,4,0.0
Coffs Harbour,2015,5,0.0
Coffs Harbour,2015,6,0.0
Coffs Harbour,2015,7,0.0
Coffs Harbour,2015,8,0.0
Coffs Harbour,2015,9,0.0
Coffs Harbour,2015,10,0.0
Coffs Harbour,2015,11,0.0
Coffs Harbour,2015,12,0.0
Coffs Harbour,2016,1,0.0
Coffs Harbour,2016,2,0.0
Coffs Harbour,2016,3,0.0
Coffs Harbour,2016,4,0.0
Coffs Harbour,2016,5,0.0
Coffs Harbour,2016,6,0.0
Coffs Harbour,2016,7,0.0
Coffs Harbour,2016,8,0.0
Coffs Harbour,2016,9,0.0
Coffs Harbour,2016,10,0.0
Coffs Harbour,2016,11,1.0
Coffs Harbour,2016,12,1.0
Coffs Harbour,2017,1,2.0
Coffs Harbour,2017,2,1.0
Coffs Harbour,2017,3,0.0
Coffs Harbour,2017,4,0.0
Coffs Harbour,2017,5,0.0
Coffs Harbour,2017,6,0.0
Moree,2009,1,9.0
Moree,2009,2,7.0
Moree,2009,3,2.0
Moree,2009,4,0.0
Moree,2009,5,0.0
Moree,2009,6,0.0
Moree,2009,7,0.0
Moree,2009,8,2.0
Moree,2009,9,0.0
Moree,2009,10,1.0
Moree,2009,11,17.0
Moree,2009,12,16.0
Moree,2010,1,13.0
Moree,2010,2,3.0
Moree,2010,3,1.0
Moree,2010,4,0.0
Moree,2010,5,0.0
Moree,2010,6,0.0
Moree,2010,7,0.0
Moree,2010,8,0.0
Moree,2010,9,0.0
Moree,2010,10,0.0
Moree,2010,11,0.0
Moree,2010,12,2.0
Moree,2011,1,10.0
Moree,2011,2,11.0
Moree,2011,3,1.0
Moree,2011,5,0.0
Moree,2011,6,0.0
Moree,2011,7,0.0
Moree,2011,8,0.0
Moree,2011,9,0.0
Moree,2011,10,0.0
Moree,2011,11,3.0
Moree,2011,12,0.0
Moree,2012,1,2.0
Moree,2012,2,0.0
Moree,2012,3,0.0
Moree,2012,4,0.0
Moree,2012,5,0.0
Moree,2012,6,0.0
Moree,2012,7,0.0
Moree,2012,8,0.0
Moree,2012,9,0.0
Moree,2012,10,1.0
Moree,2012,11,11.0
Moree,2013,1,18.0
Moree,2013,3,0.0
Moree,2013,4,0.0
Moree,2013,5,0.0
Moree,2013,6,0.0
Moree,2013,7,0.0
Moree,2013,8,0.0
Moree,2013,9,1.0
Moree,2013,10,0.0
Moree,2013,11,5.0
Moree,2013,12,19.0
Moree,2014,1,19.0
Moree,2014,2,14.0
Moree,2014,3,1.0
Moree,2014,4,0.0
Moree,2014,5,0.0
Moree,2014,6,0.0
Moree,2014,7,0.0
Moree,2014,8,0.0
Moree,2014,9,0.0
Moree,2014,10,5.0
Moree,2014,11,15.0
Moree,2014,12,16.0
Moree,2015,1,8.0
Moree,2015,2,8.0
Moree,2015,3,8.0
Moree,2015,4,0.0
Moree,2015,5,0.0
Moree,2015,6,0.0
Moree,2015,7,0.0
Moree,2015,8,0.0
Moree,2015,9,0.0
Moree,2015,10,1.0
Moree,2015,11,11.0
Moree,2015,12,11.0
Moree,2016,1,11.0
Moree,2016,2,15.0
Moree,2016,3,8.0
Moree,2016,4,1.0
Moree,2016,5,0.0
Moree,2016,6,0.0
Moree,2016,7,0.0
Moree,2016,8,0.0
Moree,2016,9,0.0
Moree,2016,10,0.0
Moree,2016,11,5.0
Moree,2016,12,16.0
Moree,2017,1,31.0
Moree,2017,2,21.0
Moree,2017,3,0.0
Moree,2017,4,0.0
Moree,2017,5,0.0
Moree,2017,6,0.0
Newcastle,2008,12,0.0
Newcastle,2009,1,6.0
Newcastle,2009,2,1.0
Newcastle,2009,3,0.0
Newcastle,2009,4,0.0
Newcastle,2009,5,0.0
Newcastle,2009,6,0.0
Newcastle,2009,7,0.0
Newcastle,2009,8,0.0
Newcastle,2009,9,0.0
Newcastle,2009,10,0.0
Newcastle,2009,11,4.0
Newcastle,2009,12,2.0
Newcastle,2010,1,5.0
Newcastle,2010,2,2.0
Newcastle,2010,3,0.0
Newcastle,2010,4,0.0
Newcastle,2010,5,0.0
Newcastle,2010,6,0.0
Newcastle,2010,7,0.0
Newcastle,2010,8,0.0
Newcastle,2010,9,0.0
Newcastle,2010,10,0.0
Newcastle,2010,11,0.0
Newcastle,2010,12,0.0
Newcastle,2011,1,3.0
Newcastle,2011,2,6.0
Newcastle,2011,3,1.0
Newcastle,2011,5,0.0
Newcastle,2011,6,0.0
Newcastle,2011,7,0.0
Newcastle,2011,8,0.0
Newcastle,2011,9,0.0
Newcastle,2011,10,0.0
Newcastle,2011,11,3.0
Newcastle,2011,12,0.0
Newcastle,2012,1,1.0
Newcastle,2012,2,0.0
Newcastle,2012,3,0.0
Newcastle,2012,4,0.0
Newcastle,2012,5,0.0
Newcastle,2012,6,0.0
Newcastle,2012,7,0.0
Newcastle,2012,8,0.0
Newcastle,2012,9,0.0
Newcastle,2012,10,2.0
Newcastle,2012,11,2.0
Newcastle,2013,1,5.0
Newcastle,2013,3,0.0
Newcastle,2013,4,0.0
Newcastle,2013,5,0.0
Newcastle,2013,6,0.0
Newcastle,2013,7,0.0
Newcastle,2013,8,0.0
Newcastle,2013,9,0.0
Newcastle,2013,10,2.0
Newcastle,2013,11,1.0
Newcastle,2013,12,4.0
Newcastle,2014,1,0.0
Newcastle,2014,2,0.0
Newcastle,2014,3,0.0
Newcastle,2014,4,0.0
Newcastle,2014,5,0.0
Newcastle,2014,6,0.0
Newcastle,2014,7,0.0
Newcastle,2014,8,0.0
Newcastle,2014,9,0.0
Newcastle,2014,10,1.0
Newcastle,2014,11,4.0
Newcastle,2014,12,1.0
Newcastle,2015,1,2.0
Newcastle,2015,2,0.0
Newcastle,2015,3,2.0
Newcastle,2015,4,0.0
Newcastle,2015,5,0.0
Newcastle,2015,6,0.0
Newcastle,2015,7,0.0
Newcastle,2015,8,0.0
Newcastle,2015,9,0.0
Newcastle,2015,10,2.0
Newcastle,2015,11,2.0
Newcastle,2015,12,4.0
Newcastle,2016,1,5.0
Newcastle,2016,2,1.0
Newcastle,2016,3,0.0
Newcastle,2016,4,0.0
Newcastle,2016,5,0.0
Newcastle,2016,6,0.0
Newcastle,2016,7,0.0
Newcastle,2016,8,0.0
Newcastle,2016,9,0.0
Newcastle,2016,10,0.0
Newcastle,2016,11,0.0
Newcastle,2016,12,4.0
Newcastle,2017,1,8.0
Newcastle,2017,2,5.0
Newcastle,2017,3,0.0
Newcastle,2017,4,0.0
Newcastle,2017,5,0.0
Newcastle,2017,6,0.0
Norah Head,2009,1,1.0
Norah Head,2009,2,0.0
Norah Head,2009,3,0.0
Norah Head,2009,4,0.0
Norah Head,2009,5,0.0
Norah Head,2009,6,0.0
Norah Head,2009,7,0.0
Norah Head,2009,8,0.0
Norah Head,2009,9,0.0
Norah Head,2009,10,0.0
Norah Head,2009,11,2.0
Norah Head,2009,12,0.0
Norah Head,2010,1,1.0
Norah Head,2010,2,2.0
Norah Head,2010,3,0.0
Norah Head,2010,4,0.0
Norah Head,2010,5,0.0
Norah Head,2010,6,0.0
Norah Head,2010,7,0.0
Norah Head,2010,8,0.0
Norah Head,2010,9,0.0
Norah Head,2010,10,0.0
Norah Head,2010,11,0.0
Norah Head,2010,12,0.0
Norah Head,2011,1,0.0
Norah Head,2011,2,3.0
Norah Head,2011,3,1.0
Norah Head,2011,5,0.0
Norah Head,2011,6,0.0
Norah Head,2011,7,0.0
Norah Head,2011,8,0.0
Norah Head,2011,9,0.0
Norah Head,2011,10,0.0
Norah Head,2011,11,1.0
Norah Head,2011,12,0.0
Norah Head,2012,1,0.0
Norah Head,2012,2,0.0
Norah Head,2012,3,0.0
Norah Head,2012,4,0.0
Norah Head,2012,5,0.0
Norah Head,2012,6,0.0
Norah Head,2012,7,0.0
Norah Head,2012,8,0.0
Norah Head,2012,9,0.0
Norah Head,2012,10,0.0
Norah Head,2012,11,0.0
Norah Head,2013,1,2.0
Norah Head,2013,3,0.0
Norah Head,2013,4,0.0
Norah Head,2013,5,0.0
Norah Head,2013,6,0.0
Norah Head,2013,7,0.0
Norah Head,2013,8,0.0
Norah Head,2013,9,0.0
Norah Head,2013,10,1.0
Norah Head,2013,11,0.0
Norah Head,2013,12,0.0
Norah Head,2014,1,0.0
Norah Head,2014,2,0.0
Norah Head,2014,3,0.0
Norah Head,2014,4,0.0
Norah Head,2014,5,0.0
Norah Head,2014,6,0.0
Norah Head,2014,7,0.0
Norah Head,2014,8,0.0
Norah Head,2014,9,0.0
Norah Head,2014,10,0.0
Norah Head,2014,11,1.0
Norah Head,2014,12,0.0
Norah Head,2015,1,0.0
Norah Head,2015,2,0.0
Norah Head,2015,3,0.0
Norah Head,2015,4,0.0
Norah Head,2015,5,0.0
Norah Head,2015,6,0.0
Norah Head,2015,7,0.0
Norah Head,2015,8,0.0
Norah Head,2015,9,0.0
